Data,TempMaxima
2014-01-02,32.9
2014-01-03,33.3
2014-01-04,33.5
2014-01-05,31.7
2014-01-06,31.7
2014-01-07,31.7
2014-01-08,30.8
2014-01-09,29.9
2014-01-10,29.3
2014-01-11,32.3
2014-01-12,31.5
2014-01-13,31.3
2014-01-14,30.9
2014-01-15,32.3
2014-01-16,33.5
2014-01-17,32.5
2014-01-18,30.9
2014-01-19,29.5
2014-01-20,31.3
2014-01-21,29.5
2014-01-22,32.5
2014-01-23,32.3
2014-01-24,31.7
2014-01-25,32.4
2014-01-26,32.3
2014-01-27,32.3
2014-01-28,31.9
2014-01-29,32.5
2014-01-30,32.9
2014-01-31,33
2014-02-01,33.3
2014-02-02,34
2014-02-03,33.7
2014-02-04,33.3
2014-02-05,32.9
2014-02-06,33.5
2014-02-07,32.3
2014-02-08,32.9
2014-02-09,32.9
2014-02-10,32.9
2014-02-11,33.7
2014-02-12,33.5
2014-02-13,32.9
2014-02-14,33.4
2014-02-15,34.3
2014-02-16,33.2
2014-02-17,32.7
2014-02-18,27.1
2014-02-19,27.7
2014-02-20,31.5
2014-02-21,31.9
2014-02-22,32.2
2014-02-23,31.9
2014-02-24,31.9
2014-02-25,32.9
2014-02-26,32.3
2014-02-27,33.3
2014-02-28,34.5
2014-03-01,33.3
2014-03-02,35.3
2014-03-03,31.9
2014-03-04,30.9
2014-03-05,31.3
2014-03-06,32.3
2014-03-07,32.5
2014-03-08,32.7
2014-03-09,31.9
2014-03-10,32.7
2014-03-11,32.3
2014-03-12,32.7
2014-03-13,32.7
2014-03-14,32.9
2014-03-15,32.5
2014-03-16,32
2014-03-17,32.3
2014-03-18,32.1
2014-03-19,32.8
2014-03-20,34.5
2014-03-21,34.5
2014-03-22,34.7
2014-03-23,27.5
2014-03-24,28.3
2014-03-25,29.5
2014-03-26,27.3
2014-03-27,30
2014-03-28,29.3
2014-03-29,28.9
2014-03-30,31.8
2014-03-31,30.9
2014-04-01,31.7
2014-04-02,32.3
2014-04-03,32
2014-04-04,28.7
2014-04-05,28.7
2014-04-06,29.9
2014-04-07,31.3
2014-04-08,31.9
2014-04-09,32.5
2014-04-10,32.7
2014-04-11,31.1
2014-04-12,30.9
2014-04-13,31.5
2014-04-14,32.5
2014-04-15,29.5
2014-04-16,28.3
2014-04-17,30.5
2014-04-18,30.5
2014-04-19,32.7
2014-04-20,33.6
2014-04-21,29.1
2014-04-22,32.3
2014-04-23,34.1
2014-04-24,28.9
2014-04-25,27.2
2014-04-26,27.7
2014-04-27,27.3
2014-04-28,26.3
2014-04-29,27.4
2014-04-30,27.9
2014-05-01,28.4
2014-05-02,30.9
2014-05-03,29.1
2014-05-04,29.9
2014-05-05,31.1
2014-05-06,31.3
2014-05-07,31.4
2014-05-08,31.9
2014-05-09,32.7
2014-05-10,27.5
2014-05-11,23.8
2014-05-12,26.7
2014-05-13,27
2014-05-14,29.3
2014-05-15,29.4
2014-05-16,29.7
2014-05-17,28.8
2014-05-18,28.5
2014-05-19,30.5
2014-05-20,28.9
2014-05-21,30.5
2014-05-22,31.5
2014-05-23,32.7
2014-05-24,28.9
2014-05-25,26.3
2014-05-26,29.3
2014-05-27,27.9
2014-05-28,27.8
2014-05-29,26.3
2014-05-30,26.3
2014-05-31,27.5
2014-06-01,29.5
2014-06-02,29.5
2014-06-03,27.7
2014-06-04,26.9
2014-06-05,31.9
2014-06-06,32
2014-06-07,29.3
2014-06-08,29.3
2014-06-09,30.9
2014-06-10,27.4
2014-06-11,28.9
2014-06-12,27.9
2014-06-13,23.6
2014-06-14,28.7
2014-06-15,28.9
2014-06-16,27.3
2014-06-17,29.3
2014-06-18,29.7
2014-06-19,25.3
2014-06-20,21.9
2014-06-21,25.3
2014-06-22,25
2014-06-23,26.8
2014-06-24,27
2014-06-25,27.9
2014-06-26,28.5
2014-06-27,29.5
2014-06-28,29.3
2014-06-29,27.7
2014-06-30,29.1
2014-07-01,31
2014-07-02,28.5
2014-07-03,28.3
2014-07-04,29.4
2014-07-05,26.9
2014-07-06,27.1
2014-07-07,27.5
2014-07-08,25.3
2014-07-09,26.5
2014-07-10,27.7
2014-07-11,25.9
2014-07-12,26.9
2014-07-13,24.8
2014-07-14,24.4
2014-07-15,22.1
2014-07-16,26.6
2014-07-17,22.4
2014-07-18,29.5
2014-07-19,24.2
2014-07-20,23.9
2014-07-21,25.9
2014-07-22,26.9
2014-07-23,26.2
2014-07-24,26.9
2014-07-25,29.4
2014-07-26,24.4
2014-07-27,24.6
2014-07-28,25.9
2014-07-29,20.8
2014-07-30,22.2
2014-07-31,24.6
2014-08-01,27
2014-08-02,28.7
2014-08-03,29.9
2014-08-04,31
2014-08-05,25.7
2014-08-06,24.4
2014-08-07,26.7
2014-08-08,28.5
2014-08-09,27.5
2014-08-10,26.3
2014-08-11,27.8
2014-08-12,29.9
2014-08-13,30.9
2014-08-14,22.8
2014-08-15,22.4
2014-08-16,23.2
2014-08-17,25.3
2014-08-18,26.9
2014-08-19,28
2014-08-20,26.4
2014-08-21,27.4
2014-08-22,30.3
2014-08-23,30.3
2014-08-24,28.7
